pattern,level,meaning,formation,example_ja,example_en,tags,notes
〜が（but）,N5,but; however,Clause A + が + Clause B,この本は高いですが、面白いです。,"This book is expensive, but interesting.",conjunction,
〜がいます / 〜があります,N5,there is/are (animate or inanimate),Noun + が + います/あります,公園に猫がいます。,There is a cat in the park.,existence,
〜から（reason）,N5,because; since,Sentence + から + Result,雨が降っているから、出かけません。,"Because it's raining, I won't go out.",reason,
〜が好きです / 〜が嫌いです,N5,like / dislike,Noun/Verb-noun + が + 好きです/嫌いです,私は猫が好きです。,I like cats.,preference,
〜たい,N5,want to do,Verb-stem + たい,日本に行きたいです。,I want to go to Japan.,desire,
〜たことがあります,N5,have done before; experienced,Verb-ta + ことがあります,日本に行ったことがあります。,I have been to Japan before.,experience,
〜で（place/means）,N5,marks the place of action or the means of doing something,Place/Means + で + Verb,学校で勉強します。,I study at school.,particle,
〜ている,N5,is/am/are doing (progressive) or resultant state,Verb-te + いる,今、ご飯を食べています。,I am eating now.,progressive,
〜てください,N5,please do (for me),Verb-te + ください,窓を開けてください。,Please open the window.,request,
〜でした,N5,was/were (polite past of です),Noun/Na-adjective + でした,昨日は日曜日でした。,Yesterday was Sunday.,past; polite,
〜ではありません,N5,is not (polite negative),Noun/Na-adjective + ではありません,私は学生ではありません。,I am not a student.,negative; polite,
〜てはいけません,N5,must not do,Verb-te + はいけません,ここで写真を撮ってはいけません。,You must not take pictures here.,prohibition,
〜てもいいです,N5,may do; it's okay to do,Verb-te + もいいです,写真を撮ってもいいですか。,May I take a picture?,permission,
〜と（and/with）,N5,and; with; together with,Noun/Verb-plain + と + Noun/Verb,友達と映画を見ます。,I watch a movie with my friend.,conjunction,
〜なくてもいいです,N5,don't have to; need not,Verb-negative + くてもいいです,明日は早く来なくてもいいです。,You don't have to come early tomorrow.,permission,
〜なければなりません / 〜なくてはいけません,N5,must do; have to do,Verb-negative + ければなりません / くてはいけません,明日までにレポートを出さなければなりません。,I must submit the report by tomorrow.,obligation,
〜に（time/destination）,N5,"marks time, destination, or indirect target",Noun/Time + に + Verb,7時に起きます。,I wake up at 7 o'clock.,particle,
〜ましょう,N5,let's do; shall we do,Verb-stem + ましょう,一緒に行きましょう。,Let's go together.,invitation,
〜ませんか,N5,shall we?; won't you?,Verb-negative + ませんか,一緒に食べませんか。,Won't you eat with me?,invitation,
〜を（object particle）,N5,marks the direct object of a verb,Noun + を + Verb,本を読みます。,I read a book.,particle,
